timestamp,x_cm,y_cm,rotation_deg
2025-07-12T17:29:37.142459,113.35,15.39,-141.44
2025-07-12T17:29:37.286701,21.00,96.70,-99.50
2025-07-12T17:29:37.686714,154.27,-22.96,137.70
2025-07-12T17:29:38.071010,199.17,-59.00,137.33
2025-07-12T17:29:38.221369,29.63,119.71,-104.01
2025-07-12T17:29:39.873687,69.52,21.93,-18.74
2025-07-12T17:29:40.164590,-6.01,108.41,-47.69
2025-07-12T17:29:40.462096,128.32,-11.22,135.75
2025-07-12T17:29:41.034091,223.07,90.62,113.78
2025-07-12T17:29:41.581276,184.14,10.44,60.08
2025-07-12T17:29:44.444780,112.81,106.62,-175.13
2025-07-12T17:29:48.777020,101.41,52.54,59.56
2025-07-12T17:29:52.102946,372.60,241.43,-145.23
2025-07-12T17:29:55.544615,200.45,63.41,-163.22
2025-07-12T17:29:55.843951,18958.92,6924.26,-157.43
2025-07-12T17:30:01.667664,184.95,114.66,-138.40
2025-07-12T17:30:11.372195,362.79,240.24,-36.25
